[279, 280.58511739992537]
[280, 281.6163051999174]
[281, 282.55617900006473]
[282, 283.55939309997484]
[283, 284.58398499991745]
[284, 285.6093063999433]
[285, 286.57707730005495]
[286, 287.6031031999737]
[287, 288.5590166999027]
[288, 289.5929223001003]
[289, 290.7994641000405]
[290, 291.5997605000157]
[291, 292.6249543998856]
[292, 293.56912839994766]
[293, 294.6023017000407]
[294, 295.6524292998947]
[295, 296.6023273000028]
[296, 297.6169819000643]
[297, 298.57355040009134]
[298, 299.60167420003563]
[299, 300.53344719996676]
[300, 301.5663439000491]
[301, 302.59184019989334]
[302, 303.6146523000207]
[303, 304.55376109993085]
[304, 305.5857995999977]
[305, 306.6023389999755]
[306, 307.6169133998919]
[307, 308.65066400007345]
[308, 309.56201059999876]
[309, 310.58644139999524]
[310, 311.6089898000937]
[311, 312.64922240003943]
[312, 313.58856890001334]
[313, 314.625897299964]
[314, 315.5696948999539]
[315, 316.58572990004905]
[316, 317.6175661999732]
[317, 318.6073628999293]
[318, 319.6563548000995]
[319, 320.64191849995404]
[320, 321.56983659998514]
[321, 322.5978484998923]
[322, 323.62459810008295]
[323, 324.56764420005493]
[324, 325.5915502998978]
[325, 326.6065058999229]
[326, 327.62578050000593]
[327, 328.5652453999501]
[328, 329.5896403999068]
[329, 330.605685000075]
[330, 331.56636890000664]
[331, 332.6041536000557]
[332, 333.6147491999436]
[333, 334.6492667000275]
[334, 335.5834303998854]
[335, 336.5935303999577]
[336, 337.6016835998744]
[337, 338.63252329989336]
[338, 339.5747624998912]
[339, 340.6011548000388]
[340, 341.6361469000112]
[341, 342.58160159992985]
[342, 343.58673790004104]
[343, 344.5977491000667]
[344, 345.59063480002806]
[345, 346.65184379997663]
[346, 347.52663079998456]
[347, 348.54431189992465]
[348, 349.56766510009766]
[349, 350.58992459997535]
[350, 351.61940489988774]
[351, 352.64079069998115]
[352, 353.57093510008417]
[353, 354.59985579992644]
[354, 355.60977169987746]
[355, 356.6243487999309]
[356, 357.56658830004744]
[357, 358.57542919996195]
[358, 359.6026115999557]
[359, 360.60202859994024]
[360, 361.6076537000481]
[361, 362.5495339999907]
[362, 363.5719874999486]
[363, 364.58768270001747]
[364, 365.60511099989526]
[365, 366.54250079998747]
[366, 367.5669126000721]
[367, 368.570124699967]
[368, 369.59216160001233]
[369, 370.7422917999793]
[370, 371.5655119998846]
[371, 372.60008380003273]
[372, 373.60655759996735]
[373, 374.6024867000524]
[374, 375.61556850001216]
[375, 376.5482216998935]
[376, 377.5845625998918]
[377, 378.59923489997163]
[378, 379.6063780998811]
[379, 380.56082700006664]
[380, 381.58368199993856]
[381, 382.60449400008656]
[382, 383.6343978000805]
[383, 384.5364987999201]
[384, 385.55165089992806]
[385, 386.58599120005965]
[386, 387.61042529996485]
[387, 388.5549027000088]
[388, 389.53720939997584]
[389, 390.5833393000066]
[390, 391.60552209988236]
[391, 392.5929113999009]
[392, 393.62592869997025]
[393, 394.5217528999783]
[394, 395.56821279996075]
[395, 396.5146540000569]
[396, 397.5344779000152]
[397, 398.5341705000028]
[398, 399.57018280006014]
[399, 400.5950368999038]
[400, 401.62510129995644]
[401, 402.5668673000764]
[402, 403.5665138999466]
[403, 404.58164969994687]
[404, 405.5779569000006]
[405, 406.5876774000935]
[406, 407.64883140008897]
[407, 408.7248551999219]
[408, 409.56850340007804]
[409, 410.6358650000766]
[410, 411.55999620002694]
[411, 412.55986190005206]
[412, 413.56540969992056]
[413, 414.5951121998951]
[414, 415.53614209988154]
[415, 416.66901240008883]
[416, 417.5553530000616]
